Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"Which of the following statements are true regarding an IoA or is an example of an IoA? Select three.","An IoA is a sign an attack is currently in progress.","A user is not able to log into their account a day before their password expires.","A user checks email while in Europe and downloads a file as if in Australia within 6 minutes.","An IoA includes the log files used to analyze how a security breach was successful.","A, C, D","An IoA (Indicator of Attack) signals an attack in progress. Impossible travel (C) is a classic IoA example. Log files analyzed for attack activity (D) can be part of IoA analysis. B is normal behavior; E (evidence an attack occurred) describes an IoC (Indicator of Compromise)."
"Which of the following statements are true regarding HIDS, HIPS, and EDRs? Select two.","HIDS, HIPS, and EDRs monitor endpoints, servers, and networking devices.","EDR tools perform analytics that identify patterns and detect anomalies.","A HIDS attempts to defeat malware by deleting it before it infects a system.","A HIPS attempts to block a malicious attack.","B, D","EDR tools perform advanced analytics to identify patterns and detect anomalies (B). A HIPS (Intrusion PREVENTION System) attempts to block malicious attacks (D). HIDS only detects and reports - it does not delete malware (C is false). These host-based tools monitor hosts/endpoints, not primarily networking devices (A is false)."
"How does a worm deliver its malicious payload?","It is usually embedded in a bloatware bundle.","It is loaded into RAM by LOLBins.","It is carried from one computer to another by an individual.","It replicates itself over the network.","D","Worms self-replicate and spread across networks without human interaction, using network vulnerabilities to propagate and deliver their payloads."
"Pamela installed a program that scanned the internet for coupons. A week later her bank account was hacked. How was her account most likely compromised?","A website where she used one of the coupons was hacked.","A hardware keylogger was installed.","She installed a computer Trojan.","A 'too good to be true' coupon led her to a malicious website.","C","The coupon-scanning program she installed was likely a Trojan - malicious software disguised as legitimate software. Trojans often contain keyloggers or other data-stealing components that capture banking credentials."
"Florentina notices an unusual amount of traffic generated by infected computers. Investigation reveals most traffic is images being transmitted to an unfamiliar site. What type of malware was most likely installed?","Software keylogger","Eavesdropping software","Exfiltration malware","Tracking software","C","Images being transmitted to an unfamiliar site is data exfiltration - malware designed to steal data (files, images, documents) and transmit it to attacker-controlled servers."
"Jefferson downloads a version of PowerShell with 'exceeded capabilities.' Shortly after, his computer exhibits unusual behavior, but anti-malware reveals nothing. What type of malware is most likely installed?","Fileless virus","Worm","File-based virus","Bot","A","The fake PowerShell is likely a LOLBin (Living-Off-the-Land Binary) tactic. Fileless malware lives in memory and uses legitimate system tools, making it invisible to traditional signature-based antivirus."
"A malicious actor installs a backdoor on a system. What are the most likely reasons? Select two.","To install bloatware","To mask impossible travel","To circumvent security protections","For privilege escalation purposes","C, D","Backdoors allow attackers to bypass normal security controls (circumvent security protections, C) and often provide privileged access for escalation (privilege escalation purposes, D)."
"Which of the following represents a disadvantage of a hardware keylogger?","Because of its physical nature, it can easily be visually detected and removed.","Operating systems can easily detect the presence of a hardware keylogger.","Installation requires physically opening the case and inserting it internally.","It needs to be installed and retrieved without the threat actor being detected.","A","The primary disadvantage of a hardware keylogger is that, because it is a physical device, it can be discovered through visual inspection of the computer and easily removed. OS-based detection of hardware keyloggers is actually very difficult (B is an advantage, not a disadvantage)."
"Jennifer's computer is infected. She is willing to pay in Bitcoin but cannot launch a browser to pay. What type of malware was most likely installed?","Crypto ransomware","Blocking ransomware","Encrypting ransomware","Locking ransomware","B","Blocking ransomware blocks the user's access to the operating system and applications (including browsers), preventing the user from using the system until a ransom is paid. Crypto/encrypting ransomware only encrypts files while leaving the system usable."
"A user gets a popup from what appears to be a government agency saying the computer is involved in illegal activity and they must pay a fine by entering their credit card. The user cannot close the message. What category of action did the user most likely experience?","Extortion","Malware","Blackmail","Kidnap","A","The fake government fine popup demanding payment is a form of extortion - using threats (claimed illegal activity) to demand money. The message locks the browser/screen to pressure payment."
"Which of the following statements best describes a TOCTTOU race condition?","When the TOC expires before the corresponding data in memory is retrieved.","When software is used to trap a memory error condition.","When one thread overwrites the data created by another thread.","When data is written to the wrong memory location.","C","TOCTTOU (Time-Of-Check-To-Time-Of-Use) is a race condition where the state of a system changes between the time a program checks a condition (TOC) and the time it uses the data (TOU). Another thread can overwrite the data during this window."
"A company's network is infected with ransomware. Data has been stolen, and they must pay or the stolen data will be released. What is the best option for the company?","Restore data from their backups.","There is no best option.","Pay the ransom.","Decrypt the data themselves.","B","In a double-extortion case (data encrypted AND stolen), every option has significant downsides: restoring backups does not prevent stolen data release; paying the ransom is discouraged and offers no guarantee; self-decryption is unrealistic. There is no best option."
"Hissana enters information on a compromised website that does a poor job sanitizing input. The web server sends back a response that infects her system. What type of attack is this?","Replay","XSS","SSRF","CSRF","B","The web application fails to sanitize user input, allowing malicious script to be reflected back to users through the server response - this is a classic XSS (Cross-Site Scripting) attack."
